Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,28-10-2015,37-066,LAL,,MIN,L (-1),1,28:56:00,8,24,0.333,3,13,0.231,5,5,1,0,4,4,1,2,0,0,1,24,13.9,-6
2,2,30-10-2015,37-068,LAL,@,SAC,L (-18),1,22:12,5,12,0.417,1,8,0.125,2,3,0.667,2,2,4,3,0,0,3,2,13,6.5,-18
3,3,01-11-2015,37-070,LAL,,DAL,L (-10),1,31:21:00,3,15,0.2,2,8,0.25,7,7,1,2,3,5,1,0,0,1,5,15,5.7,-2
4,4,03-11-2015,37-072,LAL,,DEN,L (-11),1,29:10:00,4,11,0.364,1,5,0.2,2,3,0.667,1,1,2,5,2,0,1,5,11,8,-4
5,5,06-11-2015,37-075,LAL,@,BRK,W (+6),1,31:02:00,5,16,0.313,1,4,0.25,7,8,0.875,0,3,3,3,0,0,3,3,18,7.2,-6
6,6,08-11-2015,37-077,LAL,@,NYK,L (-4),1,32:05:00,6,19,0.316,2,10,0.2,4,7,0.571,0,2,2,3,1,0,1,2,18,7.8,-1
7,,10-11-2015,37-079,LAL,@,MIA,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,11-11-2015,37-080,LAL,@,ORL,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
9,7,13-11-2015,37-082,LAL,@,DAL,L (-8),1,32:25:00,7,15,0.467,3,8,0.375,2,2,1,0,5,5,3,0,0,6,2,19,8.1,5
10,8,15-11-2015,37-084,LAL,,DET,W (+12),1,35:43:00,6,19,0.316,1,4,0.25,4,4,1,0,8,8,9,2,0,4,3,17,11.6,14
11,,16-11-2015,37-085,LAL,@,PHO,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
12,9,20-11-2015,37-089,LAL,,TOR,L (-11),1,37:04:00,5,13,0.385,0,5,0,0,0,,0,4,4,5,2,0,3,2,10,5.8,-1
13,10,22-11-2015,37-091,LAL,,POR,L (-14),1,31:23:00,6,22,0.273,0,5,0,6,7,0.857,1,3,4,4,1,1,0,1,18,10.3,-6
14,11,24-11-2015,37-093,LAL,@,GSW,L (-34),1,24:41:00,1,14,0.071,1,7,0.143,1,2,0.5,0,6,6,2,2,0,3,0,4,-3.6,-20
15,12,28-11-2015,37-097,LAL,@,POR,L (-12),1,34:08:00,7,20,0.35,1,5,0.2,6,7,0.857,0,2,2,2,0,0,1,1,21,10,-12
16,13,29-11-2015,37-098,LAL,,IND,L (-4),1,33:29:00,4,20,0.2,2,7,0.286,3,4,0.75,1,3,4,3,1,0,1,1,13,3.5,-6
17,14,01-12-2015,37-100,LAL,@,PHI,L (-12),1,31:42:00,7,26,0.269,4,17,0.235,2,4,0.5,1,4,5,2,1,0,3,3,20,3.9,-21
18,15,02-12-2015,37-101,LAL,@,WAS,W (+4),1,35:34:00,10,24,0.417,4,11,0.364,7,8,0.875,0,2,2,3,1,0,2,1,31,19.1,-5
19,16,04-12-2015,37-103,LAL,@,ATL,L (-13),1,35:20:00,4,19,0.211,2,10,0.2,4,5,0.8,0,3,3,5,2,2,2,2,14,6.9,-15
20,17,06-12-2015,37-105,LAL,@,DET,L (-20),1,25:35:00,2,15,0.133,1,6,0.167,0,0,,0,3,3,1,1,0,3,2,5,-5.9,-22
21,18,07-12-2015,37-106,LAL,@,TOR,L (-9),1,31:49:00,8,16,0.5,1,4,0.25,4,5,0.8,0,8,8,4,2,0,4,3,21,14.6,-11
22,19,09-12-2015,37-108,LAL,@,MIN,L (-1),1,24:30:00,5,13,0.385,1,2,0.5,0,0,,0,1,1,1,1,0,2,2,11,3.1,-12
23,20,11-12-2015,37-110,LAL,@,SAS,L (-22),1,28:59:00,5,12,0.417,1,5,0.2,1,2,0.5,1,5,6,4,0,0,2,1,12,7.8,-18
24,21,12-12-2015,37-111,LAL,@,HOU,L (-29),1,31:09:00,9,16,0.563,4,9,0.444,3,3,1,2,5,7,6,3,0,0,0,25,27.5,3
25,22,15-12-2015,37-114,LAL,,MIL,W (+18),1,27:26:00,7,15,0.467,3,7,0.429,5,5,1,0,3,3,6,0,0,2,2,22,16.6,20
26,23,17-12-2015,37-116,LAL,,HOU,L (-20),1,32:02:00,9,16,0.563,2,6,0.333,2,7,0.286,1,7,8,3,0,1,2,2,22,15.2,-24
27,,19-12-2015,37-118,LAL,@,OKC,L (-40),Did Not Play,,,,,,,,,,,,,,,,,,,,,
28,24,22-12-2015,37-121,LAL,@,DEN,W (+4),1,32:11:00,10,22,0.455,2,9,0.222,9,11,0.818,1,2,3,5,1,1,1,2,31,23.5,11
29,25,23-12-2015,37-122,LAL,,OKC,L (-35),1,27:56:00,7,22,0.318,2,7,0.286,3,3,1,1,0,1,3,1,0,2,3,19,7,-36
30,26,25-12-2015,37-124,LAL,,LAC,L (-10),1,26:04:00,4,10,0.4,3,5,0.6,1,4,0.25,0,3,3,3,2,0,3,0,12,7.4,-17
31,27,27-12-2015,37-126,LAL,@,MEM,L (-16),1,24:00:00,6,15,0.4,2,8,0.25,5,6,0.833,0,2,2,3,0,0,3,2,19,9.4,-14
