id,created_at,text,,
6.52585E+17,09-10-2015 20:41,Listen it's truly humbling and a honor that guys like to wear my kicks on court! Salute. #StriveForGreatness,,
6.52312E+17,09-10-2015 02:39,Humbled and proud of this Akronite tribute from @LemonAndersen http://t.co/jFpDCsunXk #LEBRON13 #StriveForGreatness http://t.co/buP6XHPyF3,,
6.52144E+17,08-10-2015 15:29,So excited to be to be partnering with @BlazePizza!! Let's Go!!   http://t.co/ZeGCfYeWjM,,
6.50343E+17,03-10-2015 16:11,Man I love Saturday cause that means another @SRemorse_Starz episode! Better not miss tonight. It's crazy!  #TheCalloways #Craziness,,
6.4971E+17,01-10-2015 22:16,C'mon man let's do and be better!  Don't fall into the trap. This can't be only way. Accept more from yourselves. #TheLand #TheNation,,
6.49709E+17,01-10-2015 22:13,Like seriously man!!!! A baby shot in the chest in Cleveland. It's been out of control but it's really OOC. Ya'll need to chill the F out.,,
6.48972E+17,29-09-2015 21:26,RT @pr_again: Honored to be at Harvard Business School with my brother @MavCarterâ€¦ https://t.co/hXBY0eknGU,,
6.48972E+17,29-09-2015 21:26,RT @mavcarter: Played professor 4 the day talking @uninterrupted at Harvard Business School what an honor I learn more than they do http://â€¦,,
6.48335E+17,28-09-2015 03:13,RT @nikebasketball: Changing the game. Again. @KingJames discusses how the #LEBRON13 offers explosive performance on a whole other level. hâ€¦,,
6.48324E+17,28-09-2015 02:32,RT @nikebasketball: Built for Greatness. @KingJames and the #LEBRON13. http://t.co/j3sfdkPSev,,
6.48312E+17,28-09-2015 01:43,RT @KristenLedlow: #LeBron13,,
,,,,
"DETAILS: http://t.co/OJt3PTqC4m http://t.co/h5wPCerHT9""",,,,
6.48304E+17,28-09-2015 01:10,RT @KristenLedlow: Check out my conversation with @KingJames (and surprise appearance by @KyrieIrving!) on #Periscope: #LEBRON13 https://t.â€¦,,
6.48303E+17,28-09-2015 01:07,RT @nikebasketball: The wait is over. @KingJames joins @KristenLedlow on the stage. #LEBRON13 http://t.co/8ufRWpvIYD,,
6.4736E+17,25-09-2015 10:41,Time to go punch that clock. Work time. #StriveForGreatness,,
6.46009E+17,21-09-2015 17:12,"""Franchise Tag on me Bron Bron""- @1future.",,
6.45739E+17,20-09-2015 23:19,I'm gone be honest I wish I was in the Land tonight. I for sure would go tonight just to hear @djstephfloss play @Drake &amp; @1future all night,,
6.45732E+17,20-09-2015 22:53,By the way HUGE S/O lil bro @JManziel2 on his performance and most importantly  getting that W this afternoon. Yesir!!,,
6.4573E+17,20-09-2015 22:45,My brother @Drake sent me that FIRE a few days back and I haven't stopped listening to it.  S/O the homie @1future. U Boyz ain't right!,,
6.4544E+17,20-09-2015 03:29,WOW!! #BamavsOleMiss,,
6.44207E+17,16-09-2015 17:51,Congrats to @De11eDonne!!! #MVPStatus #StriveForGreatness,,
6.43912E+17,15-09-2015 22:20,#LeBron13 and I are Charged Up!! #StriveForGreatness #NikeForLife #Blessed http://t.co/jH9gAoXeIJ,,
6.43888E+17,15-09-2015 20:42,S/O @SLAMonline! Been riding with me since day 1. Let's get it. #NewCoverAlert #StriveForGreatness,,
6.43279E+17,14-09-2015 04:22,Somebody please check on @pr_again!! Yo fam u good!? Haha. #CowboysNation,,
6.43268E+17,14-09-2015 03:41,Just how we drew it up!!!! #CowboysNation @dallascowboys,,
6.43177E+17,13-09-2015 21:37,You heard my story last year and now it is Awesome @alexmorgan13â€™s turn! #Becoming airs at 7PM tonight on @DisneyXD. https://t.co/j973vfYo7v,,
6.42858E+17,13-09-2015 00:29,@SRemorse_Starz family we got a lil over an hour b4 we back on for another great episode. Let's Go! Oh by the way we welcome all newcomers 2,,
6.42855E+17,13-09-2015 00:19,Missing a couple but not forgotten. We on a mission! #TheLand #StriveForGreatness http://t.co/JpNbYNeGB3,,
6.4282E+17,12-09-2015 22:00,"RT @pr_again: ""Progress over pride"" - @KingJames",,
6.42078E+17,10-09-2015 20:52,RT @SRemorse_Starz: Grown-ass men apparently still need their lucky shorts. #SurvivorsRemorse,,
"https://t.co/pGZlZ3KTKZ""",,,,
6.41433E+17,09-09-2015 02:09,"And on a side/front and back note ""The Williams Sisters"" are AMAZING!!! @serenawilliams @Venuseswilliams. My daughter will look up to y'all",,
6.41432E+17,09-09-2015 02:06,"I will begin the process now. Around the clock(when needed), strong hands &amp; stretches as well. And don't mind the cold weather either.",,
6.41431E+17,09-09-2015 02:00,"I've been thinking about this for awhile and some of you may think I'm crazy  but hey, Lol! I want a Full Time massage therapist!",,
6.41077E+17,08-09-2015 02:35,"I see you lil bro @BraxtonMiller5!!! Hit em with ""The Silencer""",,
6.41063E+17,08-09-2015 01:38,Long game though. They'll be fine.,,
6.41063E+17,08-09-2015 01:36,Right side of that D sleep out there man!,,
6.41049E+17,08-09-2015 00:44,The fact Braxton at WR is so dope!! Well u can play him anywhere on offense. #GoBucks,,
6.40352E+17,06-09-2015 02:34,What u guys think of @SRemorse_Starz tonight? Man I love being apart of this show/story!!  #TheCalloways,,
6.39762E+17,04-09-2015 11:29,RT @Variety: ICYMI: Starz renewed @KingJames' basketball comedy â€˜Survivorâ€™s Remorseâ€™ for Season 3 http://t.co/NZtEoHM6k7 http://t.co/d8JO8wâ€¦,,
6.39749E+17,04-09-2015 10:36,It's time to work! #StriveForGreatness,,
6.39097E+17,02-09-2015 15:27,RT @uninterrupted: But who was the greatest?,,
,,,,
01-02 Kings,,,,
99-00 Blazers,,,,
95-98 Jazz,,,,
95-96 Sonics,,,,
94-96 Magic,,,,
92-94 Knicks,,,,
92-93 Suns,,,,
"91-92 Câ€¦""",,,,
6.3881E+17,01-09-2015 20:24,They're so many great players in this game right now. 2000 Western Conference finals. Crazy!!,,
6.37721E+17,29-08-2015 20:18,Y'all know what tonight is people! Yup you guessed it @SRemorse_Starz tonight at 9:30Est. Don't miss it!,,
6.37425E+17,29-08-2015 00:40,RT @SoleCollector: #SoleWatch: @SwinCash has been wearing crazy LeBron 12s in New York: http://t.co/etoxPCzFBA http://t.co/MqVRE6Pq9w,,
6.3699E+17,27-08-2015 19:55,Wishing JZ-one of the good dudes I work with a safe and healthy recovery from surgery.  See you at camp Champ!,,
6.35529E+17,23-08-2015 19:09,Happy G-day to the homie @kobebryant! #MambaStatus #LivingLegend,,
6.3526E+17,23-08-2015 01:19,Let's Go people!! Less than 15 mins away we kick off season 2 of @SRemorse_Starz. Man I'm too Damn excited!! #AComedyWithBalls #WeHereAllDay,,
6.35207E+17,22-08-2015 21:48,So happy football is back and S/O @CameronNewton! Do work #StriveForGreatness  https://t.co/k7uimccEj3,,
6.35186E+17,22-08-2015 20:26,RT @USATODAYsports: Behind the scenes: @KingJames' show 'Survivor's Remorse' begins its second season: http://t.co/qRsIWAe46q http://t.co/iâ€¦,,
6.35186E+17,22-08-2015 20:26,"RT @CKAgbohOfficial: I love that @vulture is covering @SRemorse_Starz finally some outlets get it, DAMN https://t.co/obmSyu6sMd",,
6.35148E+17,22-08-2015 17:52,"RT @jerreau: Season two of @SRemorse_Starz airs tonight, 9:30 on Starz! #BackToBack http://t.co/oG8L2xRhAr",,
6.35136E+17,22-08-2015 17:07,Thank you guys!! Truly special to be with u guys the Philippines. Love you guys!!  https://t.co/hY8ng3BtVA,,
6.35136E+17,22-08-2015 17:05,RT @uninterrupted: A whole lot to prove. How do the #Elite11 QBs respond when the rankings come out? https://t.co/Z8eVvTDT3A http://t.co/jBâ€¦,,
6.35135E+17,22-08-2015 17:04,Let's go!! https://t.co/Eyw9xQPFL5,,
6.35135E+17,22-08-2015 17:03,Lets go!! https://t.co/6l8mEd4seN,,
6.35133E+17,22-08-2015 16:56,Today is the day people! Tonight at 9:30Est the Season 2 premiere of @SRemorse_Starz air. U better not miss it or you'll miss out!,,
6.34543E+17,21-08-2015 01:49,Welcome back brother @TheRealJRSmith! Happy you're sticking around. #TheLand #StriveForGreatness,,
6.34148E+17,19-08-2015 23:41,this is all that matters to me!  http://t.co/nEMz6na4JN @LJFamFoundation #IKnowMyPurpose #StriveForGreatness,,
6.34148E+17,19-08-2015 23:40,"U guys can debate, critique, hate, argue, etc, etc about where I stand on the court throughout my career but....",,
6.34102E+17,19-08-2015 20:37,Just a few days away people! @SRemorse_Starz  Season 2 Review- @flavorwire http://t.co/17hHFEgU2N #AComedyWithAlotOfBalls #LaughsAllNight,,
6.32545E+17,15-08-2015 13:29,RT @arneduncan: Thanks @KingJames for investing in &amp; providing an amazing opportunity for these kids. Youâ€™re making a difference! https://tâ€¦,,
6.32545E+17,15-08-2015 13:29,RT @HuffPostSports: .@KingJames has pledged millions of dollars to send over a thousand kids to college http://t.co/bWffCuJBts http://t.co/â€¦,,
6.32544E+17,15-08-2015 13:27,Part of the Squad. #AkronBornandRaised http://t.co/P2ZucV0DPZ,,
6.3219E+17,14-08-2015 13:58,RT @sportingnews: LeBron James partners with the University of Akron to fund scholarships for inner-city kids.,,
"http://t.co/XuPll43oUX http:â€¦""",,,,
6.32168E+17,14-08-2015 12:33,"RT @USATODAYsports: .@KingJames promises full scholarships to UA for kids who finish his ""I Promise"" program: http://t.co/VCjxy7WsG3 http:/â€¦",,
6.31996E+17,14-08-2015 01:10,RT @espn: LeBron James announced that children who complete his I Promise program will get full college scholarships. http://t.co/kLm0DL8QnG,,
6.31989E+17,14-08-2015 00:42,SPECIAL S/O to my Michele Campbell!! Head of the  @LJFamFoundation. Your vision and hustle for this can't be matched one bit. Love you!,,
6.31969E+17,13-08-2015 23:22,Every single kid who finish my program will go to college for FREE! #Tryingtomakeadifference @LJFamFoundation,,
